trie,dataset,build_ms,size_mb,latency_ns
FST,words,143.523110,2.091800,400.577221
FST,dna,55.234578,2.115816,470.935650
FST,xml,106.389633,0.950237,1124.632757
FST,wiki,40.547137,0.966380,447.234793
FST,log,168.552206,1.929769,2402.335712
BV-FST,words,41.752186,1.859408,229.605351
BV-FST,dna,36.869045,2.165810,258.199267
BV-FST,xml,24.692416,0.983725,546.473537
BV-FST,wiki,21.455176,0.988639,231.186533
BV-FST,log,55.511241,2.020157,915.769897
C2-FST,words,46.700411,1.858720,226.302731
C2-FST,dna,45.420830,1.249219,258.341813
C2-FST,xml,32.308828,0.857991,553.560617
C2-FST,wiki,28.206684,0.901482,236.310350
C2-FST,log,65.428001,1.757939,955.913465
CoCo-prime,words,364.624790,2.159839,387.390710
CoCo-prime,dna,127.766292,1.087284,366.523813
CoCo-prime,xml,140.646234,0.854956,573.797437
CoCo-prime,wiki,155.699197,0.919094,401.547040
CoCo-prime,log,779.985856,1.599033,775.854325
BV-CoCo,words,353.380039,2.106107,340.199243
BV-CoCo,dna,118.709920,1.999152,267.178137
BV-CoCo,xml,130.303297,0.975402,500.279533
BV-CoCo,wiki,145.519447,1.000765,332.652537
BV-CoCo,log,764.564867,1.854659,675.745759
C2-CoCo,words,356.770495,2.105419,342.435803
C2-CoCo,dna,127.243608,1.082561,264.225730
C2-CoCo,xml,139.653465,0.849668,512.264423
C2-CoCo,wiki,153.320469,0.913608,339.969227
C2-CoCo,log,772.343608,1.592441,717.544047
Marisa,words,109.963567,1.567876,263.521734
Marisa,dna,36.423850,2.180699,285.248020
Marisa,xml,47.290309,1.025860,327.946780
Marisa,wiki,27.555809,0.892581,243.851613
Marisa,log,64.383211,1.518940,471.084026
BV-Marisa,words,61.382404,1.726755,178.296435
BV-Marisa,dna,37.708158,2.142848,194.650310
BV-Marisa,xml,29.025410,0.971034,209.810847
BV-Marisa,wiki,22.192203,0.893271,156.119910
BV-Marisa,log,56.787680,1.299905,319.729176
C2-Marisa,words,77.293077,1.725087,182.391674
C2-Marisa,dna,46.205840,1.163872,201.040553
C2-Marisa,xml,39.355948,0.809645,238.013760
C2-Marisa,wiki,31.783702,0.792815,167.200257
C2-Marisa,log,71.763928,0.989118,408.282847
BV-Marisa-1,words,66.075705,1.726755,179.963129
BV-Marisa-1,dna,66.059491,1.418313,315.200243
BV-Marisa-1,xml,36.725510,0.727429,332.410007
BV-Marisa-1,wiki,29.634609,0.752213,238.786110
BV-Marisa-1,log,61.734793,0.880291,548.114595
C2-Marisa-1,words,78.807268,1.664181,193.695892
C2-Marisa-1,dna,82.731698,1.163872,201.542097
C2-Marisa-1,xml,48.873820,0.711694,372.765433
C2-Marisa-1,wiki,42.204384,0.697284,245.928877
C2-Marisa-1,log,80.762451,0.724390,622.600825
PDT,words,291.556166,1.550354,358.999020
PDT,dna,195.863021,0.890774,386.809070
PDT,xml,150.885292,0.661365,453.212150
PDT,wiki,170.820929,0.763969,332.073773
PDT,log,227.251326,1.003824,539.408521
ART,words,33.772193,15.953697,130.717142
ART,dna,6.706407,3.529694,135.023947
ART,xml,13.389409,3.385498,168.582790
ART,wiki,6.931306,3.173141,97.317080
ART,log,11.619386,3.754654,272.163572
C-ART,words,55.835044,7.129582,149.798116
C-ART,dna,10.717310,1.650438,148.105877
C-ART,xml,16.581706,1.520199,194.530367
C-ART,wiki,10.399304,1.507129,113.331487
C-ART,log,16.618828,2.435940,296.306913
