trie,dataset,build_ms,size_mb,latency_ns
FST,words,144.835061,2.091800,403.500270
FST,dna,55.522725,2.115816,480.252603
FST,xml,106.160235,0.950237,1124.479950
FST,wiki,40.580835,0.966380,449.965557
FST,log,168.741735,1.929769,2416.163629
BV-FST,words,42.593165,1.859408,230.808691
BV-FST,dna,37.200802,2.165810,260.430317
BV-FST,xml,24.483255,0.983725,544.549867
BV-FST,wiki,21.430163,0.988639,229.718473
BV-FST,log,56.171440,2.020157,915.706890
C2-FST,words,46.365497,1.858720,227.092904
C2-FST,dna,44.934883,1.249219,258.110187
C2-FST,xml,32.289684,0.857991,556.110237
C2-FST,wiki,28.207198,0.901482,236.986560
C2-FST,log,67.285946,1.757939,971.389982
CoCo-prime,words,366.917182,2.159839,388.369670
CoCo-prime,dna,128.517736,1.087284,394.797963
CoCo-prime,xml,140.095658,0.854956,573.993283
CoCo-prime,wiki,154.962155,0.919094,399.490810
CoCo-prime,log,774.053491,1.599033,772.495758
BV-CoCo,words,351.291480,2.106107,340.149432
BV-CoCo,dna,118.640634,1.999152,262.760167
BV-CoCo,xml,130.583160,0.975402,501.275047
BV-CoCo,wiki,145.505073,1.000765,331.507477
BV-CoCo,log,768.361476,1.854659,677.900312
C2-CoCo,words,359.165140,2.105419,342.831300
C2-CoCo,dna,126.537962,1.082561,264.029897
C2-CoCo,xml,137.993781,0.849668,505.878453
C2-CoCo,wiki,152.818515,0.913608,339.491503
C2-CoCo,log,770.856268,1.592441,718.293341
Marisa,words,109.582641,1.567876,260.864254
Marisa,dna,36.283515,2.180699,278.262123
Marisa,xml,47.140652,1.025860,321.160253
Marisa,wiki,27.756809,0.892581,248.355817
Marisa,log,64.931602,1.518940,478.100314
BV-Marisa,words,60.680848,1.726755,178.180563
BV-Marisa,dna,37.329898,2.142848,194.057527
BV-Marisa,xml,29.056163,0.971034,207.624030
BV-Marisa,wiki,22.580639,0.893271,157.937960
BV-Marisa,log,56.537337,1.299905,316.479845
C2-Marisa,words,77.823790,1.725087,179.881190
C2-Marisa,dna,46.183342,1.163872,198.475857
C2-Marisa,xml,40.771390,0.809645,240.066260
C2-Marisa,wiki,31.820437,0.792815,166.872640
C2-Marisa,log,70.464468,0.989118,396.143136
Marisa-1,words,110.311904,1.395733,279.839910
Marisa-1,dna,51.760234,1.473426,424.035977
Marisa-1,xml,53.480136,0.714293,446.363473
Marisa-1,wiki,33.668217,0.708705,373.887560
Marisa-1,log,68.489330,0.789403,747.860483
BV-Marisa-1,words,64.863867,1.726755,179.219828
BV-Marisa-1,dna,66.115657,1.418313,312.665230
BV-Marisa-1,xml,36.644905,0.727429,328.487433
BV-Marisa-1,wiki,29.946731,0.752213,238.634123
BV-Marisa-1,log,61.358187,0.880291,548.080286
C2-Marisa-1,words,78.043738,1.664181,195.215560
C2-Marisa-1,dna,81.323478,1.163872,198.463770
C2-Marisa-1,xml,48.261606,0.711694,356.618090
C2-Marisa-1,wiki,41.996964,0.697284,243.661567
C2-Marisa-1,log,80.150482,0.724390,615.612735
PDT,words,291.671403,1.550354,356.192711
PDT,dna,195.082071,0.890774,377.529563
PDT,xml,148.909652,0.661365,455.163617
PDT,wiki,171.883649,0.763969,337.514253
PDT,log,227.626781,1.003824,543.155795
ART,words,33.995179,15.953697,133.142795
ART,dna,6.561927,3.529694,133.381107
ART,xml,13.295734,3.385498,165.269313
ART,wiki,6.944996,3.173141,97.133887
ART,log,11.672235,3.754654,273.901275
C-ART,words,55.828575,7.129582,155.894736
C-ART,dna,10.760834,1.650438,149.277257
C-ART,xml,16.690906,1.520199,183.327730
C-ART,wiki,10.455427,1.507129,113.739093
C-ART,log,16.635740,2.435940,333.131411
