trie,dataset,build_ms,size_mb,latency_ns
FST,words,143.985720,2.091800,401.374824
FST,dna,55.393767,2.115816,475.787047
FST,xml,106.087322,0.950237,1125.206943
FST,wiki,40.508144,0.966380,446.555237
FST,log,168.661022,1.929769,2414.069086
BV-FST,words,42.296778,1.859408,224.969842
BV-FST,dna,36.902187,2.165810,258.753500
BV-FST,xml,24.722933,0.983725,549.156893
BV-FST,wiki,21.380015,0.988639,231.664590
BV-FST,log,55.079531,2.020157,918.917603
C2-FST,words,46.473027,1.858720,227.523290
C2-FST,dna,45.067679,1.249219,259.997260
C2-FST,xml,31.865460,0.857991,553.358233
C2-FST,wiki,28.432348,0.901482,238.589293
C2-FST,log,65.886790,1.757939,956.917884
CoCo-prime,words,363.378401,2.159839,386.645281
CoCo-prime,dna,126.647380,1.087284,368.339420
CoCo-prime,xml,139.477059,0.854956,572.443827
CoCo-prime,wiki,154.994564,0.919094,402.166797
CoCo-prime,log,781.441571,1.599033,791.400325
BV-CoCo,words,352.867818,2.106107,343.161760
BV-CoCo,dna,118.805728,1.999152,263.168430
BV-CoCo,xml,130.466953,0.975402,500.056983
BV-CoCo,wiki,145.866708,1.000765,332.987237
BV-CoCo,log,763.499926,1.854659,675.439250
C2-CoCo,words,355.755043,2.105419,342.274747
C2-CoCo,dna,126.514151,1.082561,263.367760
C2-CoCo,xml,137.256090,0.849668,505.832577
C2-CoCo,wiki,153.714609,0.913608,343.437913
C2-CoCo,log,775.911173,1.592441,724.891132
Marisa,words,109.109995,1.567876,259.889407
Marisa,dna,36.260990,2.180699,280.113567
Marisa,xml,46.998626,1.025860,322.361407
Marisa,wiki,27.817103,0.892581,247.825220
Marisa,log,64.388747,1.518940,466.742366
BV-Marisa,words,60.541683,1.726755,177.650027
BV-Marisa,dna,37.540464,2.142848,193.873867
BV-Marisa,xml,29.247412,0.971034,209.471223
BV-Marisa,wiki,22.319845,0.893271,156.195503
BV-Marisa,log,56.654990,1.299905,317.053243
C2-Marisa,words,77.157751,1.725087,180.372292
C2-Marisa,dna,46.632385,1.163872,198.540433
C2-Marisa,xml,39.938614,0.809645,240.809580
C2-Marisa,wiki,31.799409,0.792815,167.132607
C2-Marisa,log,74.293125,0.989118,407.322194
Marisa-1,words,77.923141,1.664181,194.021320
Marisa-1,dna,82.725778,1.163872,202.468433
Marisa-1,xml,48.903293,0.711694,356.934860
Marisa-1,wiki,41.946566,0.697284,242.921367
Marisa-1,log,80.424029,0.724390,623.635931
BV-Marisa-1,words,67.353266,1.726755,179.327338
BV-Marisa-1,dna,66.577945,1.418313,316.998833
BV-Marisa-1,xml,36.705737,0.727429,334.001190
BV-Marisa-1,wiki,30.110050,0.752213,241.337263
BV-Marisa-1,log,61.147534,0.880291,548.903396
C2-Marisa-1,words,78.963872,1.664181,193.650316
C2-Marisa-1,dna,82.380763,1.163872,199.896393
C2-Marisa-1,xml,48.531354,0.711694,357.936453
C2-Marisa-1,wiki,42.072070,0.697284,241.891363
C2-Marisa-1,log,79.681427,0.724390,618.425023
PDT,words,291.761059,1.550354,353.731667
PDT,dna,194.418340,0.890774,379.330230
PDT,xml,152.140189,0.661365,445.326137
PDT,wiki,169.252571,0.763969,332.579163
PDT,log,228.549476,1.003824,544.579433
ART,words,33.789901,15.953697,130.350038
ART,dna,6.539767,3.529694,132.714417
ART,xml,12.853982,3.385498,165.814077
ART,wiki,6.967666,3.173141,97.360563
ART,log,12.136524,3.754654,286.975610
C-ART,words,55.334184,7.129582,149.087061
C-ART,dna,10.938198,1.650438,148.117650
C-ART,xml,16.852769,1.520199,197.912730
C-ART,wiki,10.548116,1.507129,111.837580
C-ART,log,16.753687,2.435940,292.044468
