trie,dataset,build_ms,size_mb,latency_ns
FST,words,143.302821,2.091800,396.620687
FST,dna,55.330005,2.115816,470.013097
FST,xml,106.821371,0.950237,1133.557347
FST,wiki,40.349411,0.966380,442.186683
FST,log,169.650904,1.929769,2509.214855
BV-FST,words,42.216168,1.859408,228.186283
BV-FST,dna,37.204081,2.165810,258.351003
BV-FST,xml,24.584166,0.983725,546.783653
BV-FST,wiki,21.399071,0.988639,229.219837
BV-FST,log,55.448702,2.020157,910.733525
C2-FST,words,46.583359,1.858720,225.833599
C2-FST,dna,45.137744,1.249219,258.380513
C2-FST,xml,32.255433,0.857991,560.781017
C2-FST,wiki,28.716997,0.901482,239.055927
C2-FST,log,66.458908,1.757939,958.200959
CoCo-prime,words,365.248854,2.159839,387.922910
CoCo-prime,dna,127.900564,1.087284,364.428413
CoCo-prime,xml,140.052651,0.854956,575.980843
CoCo-prime,wiki,154.657805,0.919094,401.468247
CoCo-prime,log,778.553055,1.599033,776.532880
BV-CoCo,words,349.869982,2.106107,337.551535
BV-CoCo,dna,119.608016,1.999152,265.033210
BV-CoCo,xml,130.548771,0.975402,499.008553
BV-CoCo,wiki,145.430807,1.000765,334.345460
BV-CoCo,log,765.404179,1.854659,676.801289
C2-CoCo,words,358.644764,2.105419,341.805056
C2-CoCo,dna,126.324291,1.082561,263.146423
C2-CoCo,xml,138.419806,0.849668,552.811713
C2-CoCo,wiki,152.626829,0.913608,340.224813
C2-CoCo,log,777.590057,1.592441,719.812833
Marisa,words,108.970630,1.567876,259.190516
Marisa,dna,36.168238,2.180699,283.401740
Marisa,xml,47.574041,1.025860,324.423757
Marisa,wiki,27.642582,0.892581,247.420817
Marisa,log,65.456000,1.518940,477.387670
BV-Marisa,words,61.940131,1.726755,178.138121
BV-Marisa,dna,37.890853,2.142848,196.406813
BV-Marisa,xml,29.004419,0.971034,206.854680
BV-Marisa,wiki,22.134145,0.893271,155.439050
BV-Marisa,log,57.163198,1.299905,317.872275
C2-Marisa,words,77.122332,1.725087,180.477761
C2-Marisa,dna,47.123465,1.163872,201.266707
C2-Marisa,xml,39.536013,0.809645,240.135807
C2-Marisa,wiki,31.604968,0.792815,166.149373
C2-Marisa,log,70.934881,0.989118,402.631083
Marisa-1,words,78.266744,1.664181,192.561059
Marisa-1,dna,82.327207,1.163872,200.252590
Marisa-1,xml,48.507775,0.711694,361.080750
Marisa-1,wiki,42.015065,0.697284,243.821243
Marisa-1,log,79.206621,0.724390,614.568123
BV-Marisa-1,words,65.334155,1.726755,177.758644
BV-Marisa-1,dna,66.122085,1.418313,312.648473
BV-Marisa-1,xml,36.610328,0.727429,330.562183
BV-Marisa-1,wiki,29.970905,0.752213,239.122723
BV-Marisa-1,log,62.060891,0.880291,554.965594
C2-Marisa-1,words,78.205256,1.664181,193.816356
C2-Marisa-1,dna,81.930912,1.163872,200.173073
C2-Marisa-1,xml,48.674741,0.711694,364.178877
C2-Marisa-1,wiki,42.317933,0.697284,245.031947
C2-Marisa-1,log,78.250160,0.724390,617.875045
PDT,words,292.581904,1.550354,356.595857
PDT,dna,196.287474,0.890774,382.599080
PDT,xml,149.512248,0.661365,451.266637
PDT,wiki,170.938586,0.763969,335.441767
PDT,log,228.851561,1.003824,542.375176
ART,words,33.952603,15.953697,132.565941
ART,dna,6.697129,3.529694,134.584513
ART,xml,13.336185,3.385498,171.044247
ART,wiki,6.751727,3.173141,96.783437
ART,log,11.861283,3.754654,280.155089
C-ART,words,55.532340,7.129582,150.446948
C-ART,dna,10.610853,1.650438,144.644527
C-ART,xml,16.624095,1.520199,186.960677
C-ART,wiki,10.456970,1.507129,113.990690
C-ART,log,16.528989,2.435940,312.195553
